customer_id,product_id,purchase_count,avg_rating,order_count,score
1,9,4,4.0,1,2.8047
1,27,2,4.0,1,2.5493
1,32,1,5.0,1,2.8466
1,38,3,5.0,1,3.1931
1,39,2,3.5,2,2.2993
1,70,1,3.0,1,1.8466
1,76,2,4.0,1,2.5493
1,127,1,5.0,1,2.8466
1,138,1,4.0,1,2.3466
1,144,1,3.0,1,1.8466
1,170,3,4.0,1,2.6931
1,176,2,5.0,1,3.0493
1,210,1,3.0,1,1.8466
1,216,2,5.0,2,3.0493
1,265,2,5.0,1,3.0493
1,267,1,5.0,1,2.8466
1,269,1,4.0,1,2.3466
1,278,4,5.0,1,3.3047
2,20,2,3.0,1,2.0493
2,54,1,4.0,1,2.3466
2,58,3,5.0,1,3.1931
2,63,1,5.0,1,2.8466
2,78,4,3.5,2,2.5547
2,81,1,4.0,1,2.3466
2,82,1,4.0,1,2.3466
2,83,5,4.5,2,3.1459
2,85,2,3.0,1,2.0493
2,87,2,5.0,1,3.0493
2,95,4,4.0,2,2.8047
2,96,1,5.0,1,2.8466
2,98,3,4.0,1,2.6931
2,185,1,5.0,1,2.8466
2,189,1,5.0,1,2.8466
2,190,2,5.0,1,3.0493
2,191,2,5.0,1,3.0493
2,210,2,3.0,1,2.0493
2,215,2,3.0,1,2.0493
2,216,1,5.0,1,2.8466
2,280,1,5.0,1,2.8466
2,341,2,4.0,1,2.5493
3,23,3,5.0,1,3.1931
3,51,1,4.0,1,2.3466
3,90,2,5.0,1,3.0493
3,92,3,4.0,1,2.6931
3,121,4,4.5,2,3.0547
3,125,4,3.5,2,2.5547
3,126,2,5.0,1,3.0493
3,127,3,5.0,1,3.1931
3,128,3,5.0,1,3.1931
3,135,3,4.0,1,2.6931
3,137,5,4.0,2,2.8959
3,138,2,3.0,1,2.0493
3,225,1,5.0,1,2.8466
3,235,3,4.0,1,2.6931
3,236,3,4.0,1,2.6931
3,239,3,5.0,1,3.1931
3,271,3,5.0,1,3.1931
4,11,1,3.0,1,1.8466
4,61,1,5.0,1,2.8466
4,63,5,4.0,2,2.8959
4,64,3,4.5,2,2.9431
4,72,1,4.0,1,2.3466
4,78,6,4.2,4,3.073
4,101,1,4.0,1,2.3466
4,102,2,3.0,1,2.0493
4,103,3,5.0,1,3.1931
4,105,2,5.0,1,3.0493
4,109,1,4.0,1,2.3466
4,111,4,4.5,2,3.0547
4,113,6,4.7,3,3.323
4,115,2,4.5,2,2.7993
4,119,4,5.0,2,3.3047
4,245,1,4.0,1,2.3466
4,249,2,5.0,1,3.0493
5,1,5,4.5,2,3.1459
5,3,2,5.0,1,3.0493
5,8,1,5.0,1,2.8466
5,9,5,3.8,4,2.7959
5,16,3,4.5,2,2.9431
5,17,1,3.0,1,1.8466
5,31,3,4.0,1,2.6931
5,44,2,4.5,2,2.7993
5,46,2,5.0,1,3.0493
5,50,2,4.0,1,2.5493
5,51,2,4.0,1,2.5493
5,84,1,5.0,1,2.8466
5,86,12,4.2,5,3.3825
5,92,2,4.0,1,2.5493
5,118,1,3.0,1,1.8466
5,142,3,4.0,1,2.6931
5,193,2,5.0,1,3.0493
5,230,2,5.0,1,3.0493
5,234,4,4.0,1,2.8047
5,236,3,4.0,1,2.6931
6,86,1,5.0,1,2.8466
6,94,2,5.0,1,3.0493
6,121,1,5.0,1,2.8466
6,124,2,5.0,1,3.0493
6,125,1,5.0,1,2.8466
6,129,9,4.2,4,3.2513
6,132,1,5.0,1,2.8466
6,134,6,3.5,2,2.723
6,136,2,5.0,1,3.0493
6,138,1,5.0,1,2.8466
6,149,1,5.0,1,2.8466
6,194,1,5.0,1,2.8466
6,211,1,4.0,1,2.3466
6,261,1,4.0,1,2.3466
6,264,1,4.0,1,2.3466
6,267,1,5.0,1,2.8466
6,275,1,4.0,1,2.3466
6,277,1,5.0,1,2.8466
6,278,1,5.0,1,2.8466
6,280,1,4.0,1,2.3466
7,2,6,4.0,4,2.973
7,5,10,4.2,5,3.2989
7,6,9,4.0,4,3.1513
7,11,2,5.0,1,3.0493
7,18,10,4.2,4,3.2989
7,143,1,5.0,1,2.8466
7,147,1,5.0,1,2.8466
7,152,1,5.0,1,2.8466
7,157,1,3.0,1,1.8466
7,158,1,4.0,1,2.3466
7,160,3,4.5,2,2.9431
7,302,1,4.0,1,2.3466
8,65,4,4.0,2,2.8047
8,73,4,5.0,2,3.3047
8,77,4,4.5,2,3.0547
8,79,4,3.5,2,2.5547
8,80,3,5.0,2,3.1931
8,203,1,5.0,1,2.8466
8,213,2,3.0,1,2.0493
8,215,4,4.5,2,3.0547
8,218,1,5.0,1,2.8466
8,304,2,4.0,1,2.5493
9,65,5,5.0,2,3.3959
9,68,4,4.7,3,3.1547
9,86,2,3.0,1,2.0493
9,104,2,5.0,1,3.0493
9,107,2,4.0,1,2.5493
9,108,3,5.0,1,3.1931
9,110,6,5.0,2,3.473
9,126,2,4.0,1,2.5493
9,132,1,4.0,1,2.3466
9,133,3,5.0,1,3.1931
9,140,4,3.5,2,2.5547
9,219,3,5.0,1,3.1931
9,242,3,4.0,1,2.6931
9,243,2,5.0,1,3.0493
9,254,2,4.0,1,2.5493
9,255,1,5.0,1,2.8466
9,261,2,5.0,1,3.0493
9,306,1,5.0,1,2.8466
10,2,6,4.3,3,3.123
10,5,2,5.0,1,3.0493
10,6,2,5.0,1,3.0493
10,8,1,5.0,1,2.8466
10,12,1,5.0,1,2.8466
10,18,3,5.0,1,3.1931
10,20,2,5.0,1,3.0493
10,61,6,3.5,2,2.723
10,63,2,4.0,1,2.5493
10,71,1,4.0,1,2.3466
10,72,7,4.8,4,3.4397
10,78,3,4.0,2,2.6931
10,131,1,4.0,1,2.3466
10,134,1,5.0,1,2.8466
10,136,6,4.7,3,3.323
10,140,1,3.0,1,1.8466
10,149,1,3.0,1,1.8466
10,186,1,3.0,1,1.8466
10,268,1,5.0,1,2.8466
10,275,2,5.0,1,3.0493
10,280,1,4.0,1,2.3466
11,81,4,4.5,2,3.0547
11,82,9,4.2,4,3.2513
11,83,5,5.0,2,3.3959
11,84,1,4.0,1,2.3466
11,85,4,4.0,2,2.8047
11,86,1,5.0,1,2.8466
11,87,2,4.0,2,2.5493
11,88,2,5.0,1,3.0493
11,89,1,4.0,1,2.3466
11,95,5,4.7,3,3.2459
11,96,4,5.0,2,3.3047
11,97,2,3.0,1,2.0493
11,98,6,4.0,4,2.973
11,99,5,4.3,3,3.0459
11,135,1,4.0,1,2.3466
11,184,1,5.0,1,2.8466
11,203,1,5.0,1,2.8466
11,223,1,5.0,1,2.8466
11,224,1,4.0,1,2.3466
11,226,1,3.0,1,1.8466
11,235,1,5.0,1,2.8466
12,46,2,4.0,1,2.5493
12,86,8,4.2,4,3.1986
12,90,5,4.5,2,3.1459
12,95,2,5.0,1,3.0493
12,112,5,5.0,3,3.3959
12,117,5,4.7,3,3.2459
12,118,3,4.0,2,2.6931
12,120,5,4.3,3,3.0459
12,232,1,4.0,1,2.3466
12,259,3,5.0,1,3.1931
13,84,3,5.0,1,3.1931
13,91,6,5.0,2,3.473
13,93,6,4.7,3,3.323
13,94,3,4.0,1,2.6931
13,96,3,4.0,1,2.6931
13,106,5,5.0,3,3.3959
13,108,2,4.0,1,2.5493
13,114,3,5.0,1,3.1931
13,116,6,4.7,3,3.323
13,120,1,5.0,1,2.8466
13,123,3,5.0,1,3.1931
13,126,3,5.0,1,3.1931
13,130,4,4.5,2,3.0547
13,132,1,5.0,1,2.8466
