order_item_id,order_id,customer_id,product_id,quantity,unit_price,subtotal,rating
1,1,1,66,3,5000000,15000000,
2,1,1,123,3,5000000,15000000,
3,1,1,22,2,3000000,6000000,
4,1,1,125,2,3000000,6000000,
5,2,1,39,1,3000000,3000000,3.0
6,3,1,138,1,3000000,3000000,4.0
7,4,1,39,1,3000000,3000000,4.0
8,4,1,27,2,5000000,10000000,4.0
9,4,1,70,1,3000000,3000000,3.0
10,5,1,32,1,3000000,3000000,5.0
11,6,1,76,2,5000000,10000000,4.0
12,6,1,127,1,3000000,3000000,5.0
13,7,1,39,1,3000000,3000000,
14,7,1,25,2,3000000,6000000,
15,8,2,95,1,500000,500000,4.0
16,8,2,78,1,500000,500000,3.0
17,9,2,98,1,500000,500000,
18,9,2,87,1,500000,500000,
19,10,2,58,3,500000,1500000,5.0
20,11,2,63,1,800000,800000,5.0
21,12,2,87,2,500000,1000000,
22,13,2,54,1,800000,800000,4.0
23,13,2,78,3,500000,1500000,4.0
24,13,2,95,3,500000,1500000,4.0
25,13,2,82,1,500000,500000,4.0
26,14,2,81,1,800000,800000,4.0
27,14,2,83,2,500000,1000000,5.0
28,15,2,98,3,500000,1500000,4.0
29,15,2,87,2,500000,1000000,5.0
30,16,2,85,2,800000,1600000,3.0
31,16,2,96,1,500000,500000,5.0
32,16,2,83,3,500000,1500000,4.0
33,17,2,72,3,800000,2400000,
34,17,2,99,2,800000,1600000,
35,17,2,85,2,800000,1600000,
36,17,2,48,3,500000,1500000,
37,18,3,137,2,3000000,6000000,
38,18,3,86,2,5000000,10000000,
39,18,3,135,1,5000000,5000000,
40,19,3,121,1,5000000,5000000,5.0
41,19,3,138,2,3000000,6000000,3.0
42,20,3,125,1,3000000,3000000,3.0
43,20,3,92,3,3000000,9000000,4.0
44,21,3,135,1,5000000,5000000,
45,22,3,125,2,3000000,6000000,
46,22,3,92,1,3000000,3000000,
47,22,3,128,1,5000000,5000000,
48,22,3,124,1,5000000,5000000,
49,23,3,137,3,3000000,9000000,3.0
50,23,3,125,3,3000000,9000000,4.0
51,23,3,127,3,3000000,9000000,5.0
52,24,3,137,3,3000000,9000000,
53,24,3,123,2,5000000,10000000,
54,24,3,138,1,3000000,3000000,
55,24,3,124,2,5000000,10000000,
56,25,3,135,3,5000000,15000000,4.0
57,25,3,121,3,5000000,15000000,4.0
58,26,3,124,1,5000000,5000000,
59,26,3,122,2,5000000,10000000,
60,27,3,125,1,3000000,3000000,
61,27,3,137,1,3000000,3000000,
62,27,3,86,1,5000000,5000000,
63,28,4,105,3,800000,2400000,
64,29,4,67,3,500000,1500000,
65,29,4,102,3,500000,1500000,
66,29,4,63,2,800000,1600000,
67,30,4,63,2,800000,1600000,3.0
68,30,4,78,1,500000,500000,5.0
69,30,4,113,2,800000,1600000,5.0
70,31,4,63,3,800000,2400000,5.0
71,31,4,119,3,800000,2400000,5.0
72,32,4,101,3,500000,1500000,
73,32,4,61,3,500000,1500000,
74,33,4,64,1,800000,800000,4.0
75,33,4,111,1,500000,500000,5.0
76,33,4,113,3,800000,2400000,4.0
77,34,4,111,3,500000,1500000,4.0
78,34,4,78,3,500000,1500000,3.0
79,34,4,102,2,500000,1000000,3.0
80,35,4,115,1,800000,800000,5.0
81,35,4,61,1,500000,500000,5.0
82,35,4,103,3,500000,1500000,5.0
83,36,4,72,1,800000,800000,4.0
84,36,4,115,1,800000,800000,4.0
85,36,4,113,1,800000,800000,5.0
86,37,4,78,1,500000,500000,5.0
87,37,4,64,2,800000,1600000,5.0
88,37,4,105,2,800000,1600000,5.0
89,37,4,119,1,800000,800000,5.0
90,38,4,109,1,800000,800000,4.0
91,38,4,78,1,500000,500000,4.0
92,39,4,101,1,500000,500000,4.0
93,40,5,16,2,5000000,10000000,5.0
94,41,5,7,2,3000000,6000000,
95,42,5,17,1,3000000,3000000,3.0
96,42,5,51,2,5000000,10000000,4.0
97,42,5,9,1,5000000,5000000,4.0
98,42,5,1,3,3000000,9000000,5.0
99,43,5,92,2,3000000,6000000,4.0
100,43,5,9,1,5000000,5000000,4.0
101,43,5,86,3,5000000,15000000,5.0
102,44,5,86,2,5000000,10000000,3.0
103,45,5,9,1,5000000,5000000,3.0
104,45,5,44,1,5000000,5000000,4.0
105,45,5,86,2,5000000,10000000,5.0
106,45,5,3,2,3000000,6000000,5.0
107,46,5,51,2,5000000,10000000,
108,46,5,7,3,3000000,9000000,
109,46,5,46,2,5000000,10000000,
110,46,5,11,1,5000000,5000000,
111,47,5,86,2,5000000,10000000,5.0
112,47,5,9,2,5000000,10000000,4.0
113,48,5,1,2,3000000,6000000,4.0
114,48,5,46,2,5000000,10000000,5.0
115,48,5,44,1,5000000,5000000,5.0
116,48,5,86,3,5000000,15000000,3.0
117,49,6,134,3,500000,1500000,3.0
118,49,6,129,2,500000,1000000,5.0
119,50,6,134,3,500000,1500000,
120,50,6,129,1,500000,500000,
121,50,6,136,2,800000,1600000,
122,51,6,129,3,500000,1500000,5.0
123,52,6,136,1,800000,800000,
124,52,6,134,2,500000,1000000,
125,53,6,136,1,800000,800000,
126,53,6,134,1,500000,500000,
127,54,6,129,3,500000,1500000,4.0
128,55,6,136,2,800000,1600000,5.0
129,55,6,129,1,500000,500000,3.0
130,55,6,134,3,500000,1500000,4.0
131,56,6,136,1,800000,800000,
132,56,6,129,3,500000,1500000,
133,56,6,134,3,500000,1500000,
134,57,7,5,2,800000,1600000,
135,58,7,2,1,800000,800000,5.0
136,59,7,6,2,500000,1000000,
137,59,7,18,2,800000,1600000,
138,59,7,5,2,800000,1600000,
139,60,7,6,1,500000,500000,4.0
140,60,7,5,2,800000,1600000,3.0
141,60,7,2,3,800000,2400000,5.0
142,60,7,18,2,800000,1600000,3.0
143,61,7,6,3,500000,1500000,4.0
144,62,7,6,2,500000,1000000,
145,63,7,5,3,800000,2400000,5.0
146,63,7,2,1,800000,800000,3.0
147,63,7,18,3,800000,2400000,4.0
148,63,7,6,2,500000,1000000,4.0
149,64,7,5,1,800000,800000,4.0
150,65,7,5,1,800000,800000,5.0
151,65,7,2,1,800000,800000,3.0
152,65,7,18,3,800000,2400000,5.0
153,66,7,18,1,800000,800000,
154,67,7,5,1,800000,800000,
155,67,7,2,1,800000,800000,
156,68,7,6,3,500000,1500000,4.0
157,68,7,18,2,800000,1600000,5.0
158,68,7,5,3,800000,2400000,4.0
159,69,8,80,2,1500000,3000000,5.0
160,69,8,77,1,1500000,1500000,5.0
161,69,8,65,2,2000000,4000000,5.0
162,70,8,73,3,1500000,4500000,5.0
163,70,8,79,1,1500000,1500000,4.0
164,70,8,65,2,2000000,4000000,3.0
165,71,8,73,1,1500000,1500000,
166,71,8,68,3,1500000,4500000,
167,72,8,77,3,1500000,4500000,4.0
168,72,8,73,1,1500000,1500000,5.0
169,72,8,79,3,1500000,4500000,3.0
170,73,9,68,1,1500000,1500000,4.0
171,74,9,65,2,2000000,4000000,5.0
172,74,9,107,2,1500000,3000000,4.0
173,74,9,132,1,1500000,1500000,4.0
174,75,9,140,3,1200000,3600000,3.0
175,75,9,110,3,1500000,4500000,5.0
176,75,9,68,2,1500000,3000000,5.0
177,75,9,133,3,1500000,4500000,5.0
178,76,9,140,1,1200000,1200000,4.0
179,76,9,104,2,1200000,2400000,5.0
180,76,9,126,2,1200000,2400000,4.0
181,76,9,110,3,1500000,4500000,5.0
182,77,9,108,3,1200000,3600000,5.0
183,77,9,68,1,1500000,1500000,5.0
184,78,10,61,3,500000,1500000,3.0
185,78,10,72,2,800000,1600000,5.0
186,79,10,129,2,500000,1000000,
187,79,10,134,3,500000,1500000,
188,79,10,2,1,800000,800000,
189,79,10,64,3,800000,2400000,
190,80,10,5,2,800000,1600000,
191,80,10,134,3,500000,1500000,
192,81,10,2,3,800000,2400000,4.0
193,81,10,6,2,500000,1000000,5.0
194,81,10,136,3,800000,2400000,5.0
195,81,10,71,1,800000,800000,4.0
196,82,10,18,3,800000,2400000,5.0
197,82,10,72,1,800000,800000,5.0
198,82,10,5,2,800000,1600000,5.0
199,83,10,136,2,800000,1600000,5.0
200,83,10,63,2,800000,1600000,4.0
201,83,10,72,3,800000,2400000,4.0
202,84,10,2,2,800000,1600000,5.0
203,85,10,61,3,500000,1500000,4.0
204,85,10,134,1,500000,500000,5.0
205,85,10,78,1,500000,500000,3.0
206,85,10,2,1,800000,800000,4.0
207,86,10,72,1,800000,800000,
208,86,10,67,2,500000,1000000,
209,86,10,18,3,800000,2400000,
210,86,10,129,1,500000,500000,
211,87,10,78,2,500000,1000000,5.0
212,87,10,136,1,800000,800000,4.0
213,88,10,129,3,500000,1500000,
214,88,10,67,1,500000,500000,
215,89,10,5,1,800000,800000,
216,90,11,83,2,500000,1000000,5.0
217,90,11,99,2,800000,1600000,3.0
218,90,11,82,3,500000,1500000,4.0
219,90,11,81,2,800000,1600000,5.0
220,91,11,95,1,500000,500000,
221,91,11,89,3,500000,1500000,
222,92,11,87,1,500000,500000,5.0
223,92,11,81,2,800000,1600000,4.0
224,93,11,87,1,500000,500000,3.0
225,93,11,98,1,500000,500000,4.0
226,93,11,95,2,500000,1000000,4.0
227,94,11,99,2,800000,1600000,5.0
228,94,11,89,1,500000,500000,4.0
229,94,11,98,2,500000,1000000,4.0
230,95,11,85,1,800000,800000,4.0
231,95,11,82,3,500000,1500000,5.0
232,95,11,95,1,500000,500000,5.0
233,95,11,96,3,500000,1500000,5.0
234,96,11,95,2,500000,1000000,5.0
235,97,11,98,3,500000,1500000,
236,98,11,99,1,800000,800000,5.0
237,99,11,85,3,800000,2400000,4.0
238,100,11,82,2,500000,1000000,4.0
239,101,11,83,3,500000,1500000,5.0
240,101,11,98,1,500000,500000,4.0
241,101,11,96,1,500000,500000,5.0
242,102,12,117,2,3000000,6000000,4.0
243,103,12,112,2,5000000,10000000,
244,103,12,118,3,5000000,15000000,
245,104,12,90,3,3000000,9000000,4.0
246,105,12,120,2,5000000,10000000,4.0
247,105,12,112,1,5000000,5000000,5.0
248,105,12,117,1,3000000,3000000,5.0
249,105,12,86,3,5000000,15000000,4.0
250,106,12,92,3,3000000,9000000,
251,107,12,112,2,5000000,10000000,
252,107,12,90,2,3000000,6000000,
253,108,12,86,1,5000000,5000000,5.0
254,109,12,117,2,3000000,6000000,5.0
255,109,12,120,1,5000000,5000000,5.0
256,109,12,118,1,5000000,5000000,3.0
257,110,12,120,2,5000000,10000000,4.0
258,110,12,112,2,5000000,10000000,5.0
259,111,12,118,2,5000000,10000000,
260,112,12,112,2,5000000,10000000,5.0
261,112,12,90,2,3000000,6000000,5.0
262,112,12,86,3,5000000,15000000,5.0
263,112,12,118,2,5000000,10000000,5.0
264,113,12,86,1,5000000,5000000,3.0
265,114,13,110,1,1500000,1500000,
266,114,13,133,3,1500000,4500000,
267,114,13,104,2,1200000,2400000,
268,114,13,132,2,1500000,3000000,
269,115,13,116,2,1200000,2400000,5.0
270,115,13,139,1,2000000,2000000,5.0
271,116,13,94,3,1200000,3600000,4.0
272,116,13,106,3,1200000,3600000,5.0
273,116,13,93,3,1500000,4500000,5.0
274,117,13,91,3,1200000,3600000,5.0
275,117,13,126,3,1200000,3600000,5.0
276,118,13,91,3,1200000,3600000,5.0
277,118,13,108,2,1200000,2400000,4.0
278,118,13,116,3,1200000,3600000,5.0
279,118,13,132,1,1500000,1500000,5.0
280,119,13,107,1,1500000,1500000,
281,120,13,107,2,1500000,3000000,
282,120,13,132,1,1500000,1500000,
283,120,13,140,1,1200000,1200000,
284,120,13,104,2,1200000,2400000,
285,121,13,106,1,1200000,1200000,5.0
286,121,13,84,3,2000000,6000000,5.0
287,121,13,133,2,1500000,3000000,5.0
288,122,13,106,1,1200000,1200000,5.0
289,122,13,93,2,1500000,3000000,4.0
290,122,13,130,2,1200000,2400000,5.0
291,122,13,139,1,2000000,2000000,3.0
292,123,13,93,1,1500000,1500000,5.0
293,124,13,114,3,1200000,3600000,5.0
294,124,13,130,2,1200000,2400000,4.0
295,125,13,93,2,1500000,3000000,
296,125,13,133,3,1500000,4500000,
297,125,13,126,3,1200000,3600000,
298,125,13,106,3,1200000,3600000,
299,126,14,110,1,1500000,1500000,3.0
300,126,14,68,3,1500000,4500000,4.0
301,126,14,130,2,1200000,2400000,4.0
302,126,14,73,3,1500000,4500000,5.0
303,127,14,80,3,1500000,4500000,3.0
304,127,14,104,1,1200000,1200000,4.0
305,127,14,108,3,1200000,3600000,5.0
306,128,14,130,1,1200000,1200000,3.0
307,128,14,131,2,1500000,3000000,4.0
308,129,14,77,2,1500000,3000000,3.0
309,130,14,114,2,1200000,2400000,
310,131,14,116,2,1200000,2400000,3.0
311,131,14,132,3,1500000,4500000,3.0
312,132,14,140,3,1200000,3600000,
313,132,14,104,1,1200000,1200000,
314,132,14,77,3,1500000,4500000,
315,132,14,126,3,1200000,3600000,
316,133,14,68,1,1500000,1500000,4.0
317,133,14,108,3,1200000,3600000,5.0
318,134,14,106,2,1200000,2400000,5.0
319,134,14,107,3,1500000,4500000,5.0
320,134,14,130,2,1200000,2400000,4.0
321,134,14,65,2,2000000,4000000,5.0
322,135,14,65,2,2000000,4000000,
323,135,14,126,3,1200000,3600000,
324,136,15,104,3,1200000,3600000,
325,136,15,34,3,2000000,6000000,
326,136,15,33,3,1500000,4500000,
327,137,15,37,3,1500000,4500000,5.0
328,137,15,38,3,2000000,6000000,4.0
329,138,15,114,3,1200000,3600000,5.0
330,138,15,104,3,1200000,3600000,4.0
331,139,15,116,3,1200000,3600000,
332,139,15,21,3,1200000,3600000,
333,139,15,104,3,1200000,3600000,
334,139,15,34,3,2000000,6000000,
335,140,15,26,2,1200000,2400000,5.0
336,140,15,114,3,1200000,3600000,3.0
337,140,15,106,2,1200000,2400000,3.0
338,141,15,104,1,1200000,1200000,5.0
339,141,15,114,3,1200000,3600000,4.0
340,141,15,116,1,1200000,1200000,5.0
341,142,15,37,2,1500000,3000000,5.0
342,143,15,116,3,1200000,3600000,5.0
343,143,15,26,2,1200000,2400000,4.0
344,144,15,38,2,2000000,4000000,4.0
345,145,15,38,1,2000000,2000000,5.0
346,146,15,108,1,1200000,1200000,5.0
347,146,15,30,3,1500000,4500000,5.0
348,146,15,34,2,2000000,4000000,5.0
349,146,15,38,3,2000000,6000000,5.0
350,147,16,38,3,2000000,6000000,3.0
351,147,16,30,1,1500000,1500000,5.0
352,148,16,53,2,1200000,2400000,5.0
353,148,16,34,1,2000000,2000000,3.0
